Year,Units,Time series,COMMENT_OBS_0,Sex,Value
2024,Number,Trained personnel,,,182.0
2025,Number,Trained personnel,,,256.0
2030,Number,Trained personnel,,,1000.0
2023,Number,Trained personnel,.,,
2025,Number,Trained personnel,,,256.0
2024,Number,Trained personnel still required to achieve the target,,,818.0
2025,Number,Trained personnel still required to achieve the target,,,744.0
2030,Number,Trained personnel still required to achieve the target,…,,
2023,Number,Trained personnel still required to achieve the target,.,,
2025,Number,Trained personnel still required to achieve the target,,,744.0
2024,Number,Trained personnel,,Female,33.0
2025,Number,Trained personnel,,Female,39.0
2030,Number,Trained personnel,…,Female,
2023,Number,Trained personnel,.,Female,
2025,Number,Trained personnel,,Female,39.0
2024,Number,Trained personnel,,Male,149.0
2025,Number,Trained personnel,,Male,217.0
2030,Number,Trained personnel,…,Male,
2023,Number,Trained personnel,.,Male,
2025,Number,Trained personnel,,Male,217.0
