Year,Units,sex,age group,federal state,GeoCode,Value
1999,percentage,,,,,10.7
2003,percentage,,,,,11.7
2005,percentage,,,,,12.5
2009,percentage,,,,,13.3
2013,percentage,,,,,14.1
2017,percentage,,,,,14.789
2021,percentage,,,,,15.418
2000,percentage,,,,,
2001,percentage,,,,,
2002,percentage,,,,,
2004,percentage,,,,,
2006,percentage,,,,,
2007,percentage,,,,,
2008,percentage,,,,,
2010,percentage,,,,,
2011,percentage,,,,,
2012,percentage,,,,,
2014,percentage,,,,,
2015,percentage,,,,,
2016,percentage,,,,,
2018,percentage,,,,,
2019,percentage,,,,,
2020,percentage,,,,,
1999,percentage,,,baden-wuerttemberg,code08,9.78
2003,percentage,,,baden-wuerttemberg,code08,10.913
2005,percentage,,,baden-wuerttemberg,code08,11.371
2009,percentage,,,baden-wuerttemberg,code08,12.259
2013,percentage,,,baden-wuerttemberg,code08,12.923
2017,percentage,,,baden-wuerttemberg,code08,13.774
2021,percentage,,,baden-wuerttemberg,code08,14.034
1999,percentage,,,bavaria,code09,10.73
2003,percentage,,,bavaria,code09,11.668
2005,percentage,,,bavaria,code09,11.83
2009,percentage,,,bavaria,code09,12.784
2013,percentage,,,bavaria,code09,13.255
2017,percentage,,,bavaria,code09,13.728
2021,percentage,,,bavaria,code09,13.911
1999,percentage,,,berlin,code11,9.206
2003,percentage,,,berlin,code11,10.185
2005,percentage,,,berlin,code11,11.228
2009,percentage,,,berlin,code11,11.187
2013,percentage,,,berlin,code11,11.727
2017,percentage,,,berlin,code11,11.913
2021,percentage,,,berlin,code11,13.114
1999,percentage,,,brandenburg,code12,13.054
2003,percentage,,,brandenburg,code12,13.122
2005,percentage,,,brandenburg,code12,13.811
2009,percentage,,,brandenburg,code12,14.843
2013,percentage,,,brandenburg,code12,14.925
2017,percentage,,,brandenburg,code12,15.47
2021,percentage,,,brandenburg,code12,16.36
1999,percentage,,,bremen,code04,8.863
2003,percentage,,,bremen,code04,10.82
2005,percentage,,,bremen,code04,10.152
2009,percentage,,,bremen,code04,11.745
2013,percentage,,,bremen,code04,13.546
2017,percentage,,,bremen,code04,16.937
2021,percentage,,,bremen,code04,16.966
1999,percentage,,,hamburg,code02,8.318
2003,percentage,,,hamburg,code02,9.04
2005,percentage,,,hamburg,code02,9.702
