Year,Units,Federal state,GeoCode,Value
1990,1990 = 100,,,100.0
1991,1990 = 100,,,96.3
1992,1990 = 100,,,92.313
1993,1990 = 100,,,91.588
1994,1990 = 100,,,90.157
1995,1990 = 100,,,89.805
1996,1990 = 100,,,91.259
1997,1990 = 100,,,88.445
1998,1990 = 100,,,86.413
1999,1990 = 100,,,83.677
2000,1990 = 100,,,83.494
2001,1990 = 100,,,84.788
2002,1990 = 100,,,83.071
2003,1990 = 100,,,82.825
2004,1990 = 100,,,81.468
2005,1990 = 100,,,79.45
2006,1990 = 100,,,80.016
2007,1990 = 100,,,77.947
2008,1990 = 100,,,78.019
2009,1990 = 100,,,72.689
2010,1990 = 100,,,75.349
2011,1990 = 100,,,73.374
2012,1990 = 100,,,73.829
2013,1990 = 100,,,75.205
2014,1990 = 100,,,72.023
2015,1990 = 100,,,72.304
2016,1990 = 100,,,72.585
2017,1990 = 100,,,71.319
2018,1990 = 100,,,68.486
2019,1990 = 100,,,64.395
2020,1990 = 100,,,58.678
2021,1990 = 100,,,61.3
2030,1990 = 100,,,
2040,1990 = 100,,,
2045,1990 = 100,,,
2050,1990 = 100,,,
1990,1990 = 100,Baden-Wuerttemberg,code08,100.0
1995,1990 = 100,Baden-Wuerttemberg,code08,103.863
2000,1990 = 100,Baden-Wuerttemberg,code08,97.132
2003,1990 = 100,Baden-Wuerttemberg,code08,97.493
2004,1990 = 100,Baden-Wuerttemberg,code08,96.206
2005,1990 = 100,Baden-Wuerttemberg,code08,98.662
2006,1990 = 100,Baden-Wuerttemberg,code08,99.492
2007,1990 = 100,Baden-Wuerttemberg,code08,91.404
2008,1990 = 100,Baden-Wuerttemberg,code08,93.238
2009,1990 = 100,Baden-Wuerttemberg,code08,86.18
2010,1990 = 100,Baden-Wuerttemberg,code08,87.863
2011,1990 = 100,Baden-Wuerttemberg,code08,86.165
2012,1990 = 100,Baden-Wuerttemberg,code08,85.291
2013,1990 = 100,Baden-Wuerttemberg,code08,90.995
2014,1990 = 100,Baden-Wuerttemberg,code08,85.435
2015,1990 = 100,Baden-Wuerttemberg,code08,87.045
2016,1990 = 100,Baden-Wuerttemberg,code08,89.166
2017,1990 = 100,Baden-Wuerttemberg,code08,89.752
2018,1990 = 100,Baden-Wuerttemberg,code08,85.35
2030,1990 = 100,,,
2040,1990 = 100,,,
2045,1990 = 100,,,
2050,1990 = 100,,,
1990,1990 = 100,Bavaria,code09,100.0
1995,1990 = 100,Bavaria,code09,101.969
2000,1990 = 100,Bavaria,code09,99.7
2003,1990 = 100,Bavaria,code09,93.795
2004,1990 = 100,Bavaria,code09,92.31
2005,1990 = 100,Bavaria,code09,89.597
2006,1990 = 100,Bavaria,code09,90.294
2007,1990 = 100,Bavaria,code09,83.891
2008,1990 = 100,Bavaria,code09,91.09
2009,1990 = 100,Bavaria,code09,87.999
2010,1990 = 100,Bavaria,code09,91.073
2011,1990 = 100,Bavaria,code09,89.78
2012,1990 = 100,Bavaria,code09,89.88
2013,1990 = 100,Bavaria,code09,90.454
2014,1990 = 100,Bavaria,code09,86.66
2015,1990 = 100,Bavaria,code09,87.52
2016,1990 = 100,Bavaria,code09,89.135
2017,1990 = 100,Bavaria,code09,88.87
2018,1990 = 100,Bavaria,code09,87.369
2030,1990 = 100,,,
2040,1990 = 100,,,
2045,1990 = 100,,,
2050,1990 = 100,,,
1990,1990 = 100,Berlin,code11,100.0
1995,1990 = 100,Berlin,code11,91.181
2000,1990 = 100,Berlin,code11,86.18
2003,1990 = 100,Berlin,code11,77.049
2004,1990 = 100,Berlin,code11,73.213
